"filename", "language", "JSON", "JavaScript", "Markdown", "PostCSS", "JavaScript JSX", "HTML", "XML", "comment", "blank", "total"
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\studentId.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_anapol.jsx", "JavaScript JSX", 0, 0, 0, 0, 398, 0, 0, 16, 32, 446
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_aptitudes\abstract_reasoning.jsx", "JavaScript JSX", 0, 0, 0, 0, 213, 0, 0, 15, 19, 247
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_aptitudes\mechanical_reasoning.jsx", "JavaScript JSX", 0, 0, 0, 0, 225, 0, 0, 13, 18, 256
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_aptitudes\numeric_reasoning.jsx", "JavaScript JSX", 0, 0, 0, 0, 181, 0, 0, 6, 18, 205
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_aptitudes\orthography.jsx", "JavaScript JSX", 0, 0, 0, 0, 206, 0, 0, 13, 20, 239
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_aptitudes\perceptive_speed_1.jsx", "JavaScript JSX", 0, 0, 0, 0, 264, 0, 0, 2, 21, 287
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_aptitudes\perceptive_speed_2.jsx", "JavaScript JSX", 0, 0, 0, 0, 262, 0, 0, 6, 25, 293
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_aptitudes\spatial_relations.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_aptitudes\test_aptidutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 4, 63
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_aptitudes\verbal_reasoning.jsx", "JavaScript JSX", 0, 0, 0, 0, 264, 0, 0, 8, 19, 291
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_chaside.jsx", "JavaScript JSX", 0, 0, 0, 0, 235, 0, 0, 11, 21, 267
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_colmil.jsx", "JavaScript JSX", 0, 0, 0, 0, 367, 0, 0, 15, 28, 410
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\test_personalidad.jsx", "JavaScript JSX", 0, 0, 0, 0, 228, 0, 0, 10, 17, 255
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\verify.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\vocational_games\career_exploration_quest.jsx", "JavaScript JSX", 0, 0, 0, 0, 433, 0, 0, 6, 44, 483
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\vocational_games\future_career_simulator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\vocational_games\interest_inventory_same.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\vocational_games\personality_profiler_challenge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\vocational_games\skill_match_adventure.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\estudent\vocational_report.jsx", "JavaScript JSX", 0, 0, 0, 0, 520, 0, 0, 34, 64, 618
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\questions\questions.js", "JavaScript", 0, 3536, 0, 0, 0, 0, 0, 1, 22, 3559
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\teacher\general_reports.jsx", "JavaScript JSX", 0, 0, 0, 0, 377, 0, 0, 11, 42, 430
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\teacher\info.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 0, 0, 4, 12, 180
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\teacher\observations.jsx", "JavaScript JSX", 0, 0, 0, 0, 222, 0, 0, 2, 15, 239
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\teacher\upload_grades.jsx", "JavaScript JSX", 0, 0, 0, 0, 127, 0, 0, 2, 13, 142
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\teacher\upload_grades_manager.jsx", "JavaScript JSX", 0, 0, 0, 0, 263, 0, 0, 10, 30, 303
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\teacher\upload_students.jsx", "JavaScript JSX", 0, 0, 0, 0, 450, 0, 0, 11, 38, 499
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\testHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 6, 42
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\themeSwitcher.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\contexts\ThemeContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\contexts\ThemeProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 6, 36
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\hooks\useTheme.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\index.css", "PostCSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\verify_token\verify.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 8, 25
"c:\Users\HENRRY\Desktop\vocacional-frontend\tailwind.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\HENRRY\Desktop\vocacional-frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 5725, 3673, 7, 3, 9046, 13, 2, 357, 954, 19780
